ID,Original_ID,Input_rho_s,Input_rho_l,Input_cp_s,Input_cl_l,Input_k_s,Input_k_l,Input_Lf,Input_wt,Input_Tm,Input_dT,Output_Tout,Output_LiquidFrac,Time_Cost_s,TimeSeries_File,Original_TimeSeries_File,Status,Output_TotalEnergy_MJ
75,112,892.0757859294495,757.9890665731856,2210.2824810888897,2398.1109592799885,0.2456595069740056,0.1914434189015417,153.67067686714947,0.1653990173973125,23.35715869286549,4.770736459834107,34.037304849416216,0.7950437036772439,48.80099868774414,ts_0075.npz,ts_0112_20260211_162538.npz,Success,369.6423465381449
76,113,949.7319536822248,824.8204485901174,2109.3340021929894,2259.649402936956,0.2094441385427224,0.1760960545322061,197.00986955846128,0.1189491663093308,21.044939528404743,5.930764935307804,34.1505713229223,0.9904369146593496,48.720292806625366,ts_0076.npz,ts_0113_20260211_162627.npz,Success,357.5616173166731
77,114,904.6763794475908,777.8131157878697,1800.819417894277,2461.549741429538,0.2113911702075218,0.1671495720410162,180.7953541004126,0.1799005699641765,23.02888487947345,6.2665592592429045,33.987046865869274,0.7518410158878538,48.66607403755188,ts_0077.npz,ts_0114_20260211_162716.npz,Success,388.6317189689992
78,115,870.0170571432819,824.2379792068004,1917.013220026152,2204.303281843092,0.2320336311585027,0.1588758155188136,221.3472225762643,0.246469752672882,22.58662957917308,4.10457248619899,33.885312063248364,0.6060581574802016,48.674516677856445,ts_0078.npz,ts_0115_20260211_162804.npz,Success,415.2787128900053
79,117,842.9429406267442,763.4226004362619,2362.37778519469,2555.682081632074,0.2031053654572914,0.1993376337215784,207.08891272281403,0.154981051905906,22.409021740311,4.399476784459102,33.948677639832965,0.7982248701572422,49.64414167404175,ts_0079.npz,ts_0117_20260211_163059.npz,Success,408.41547019851413
80,118,804.6584605704559,757.6625357026762,2140.896059494826,2208.445490995233,0.2028952797244734,0.150832981639818,188.22252416665765,0.1203594841296165,21.34520170304212,4.483666031001572,34.110801439847705,0.9860892772340156,49.62309980392456,ts_0080.npz,ts_0118_20260211_163149.npz,Success,367.9709871276677
81,119,825.3213326059674,785.8745675514677,2348.887445654029,2515.5405761030106,0.2135871299809493,0.1582610485853454,155.82706156363892,0.2089018601865835,22.7707005067635,6.971349422293675,34.00600283773923,0.7731684520116562,50.19542217254639,ts_0081.npz,ts_0119_20260211_163239.npz,Success,383.35301387164026
82,120,928.1601935274738,821.738344616584,1918.151871241252,2083.2174368263263,0.2220909460610772,0.1474299973177396,172.27493987088715,0.1931075010558592,20.021942778050988,4.972596741719791,34.229640916179505,0.9978991263808576,55.47636961936951,ts_0082.npz,ts_0120_20260211_163329.npz,Success,322.76911825297276
83,121,820.6925525940183,799.2161837032453,1861.2325678465072,2391.247269048335,0.2080960909435182,0.1423846852975523,156.55022522500326,0.1073203385265752,20.92936059583749,2.564334296528852,34.18223394893204,0.9952500842114864,59.8457715511322,ts_0083.npz,ts_0121_20260211_163424.npz,Success,334.1049083429933
84,122,941.252513242513,793.1752048037823,2074.64754270194,2594.452380451187,0.2225842220302047,0.174493379631374,163.63324533307943,0.135093808412086,20.59193892050773,4.331043096500294,34.200417983910654,0.9962355278960214,56.63922739028931,ts_0084.npz,ts_0122_20260211_163524.npz,Success,335.6162361202809
85,123,890.0538020325249,828.9058085649431,1814.0033358535363,2326.801050963293,0.212324707484217,0.1796038352048419,211.8803129669764,0.1067561068938482,21.621049378963463,4.205064842894523,34.079928134277225,0.981134815890326,51.43792533874512,ts_0085.npz,ts_0123_20260211_163621.npz,Success,381.0376271943259
86,125,949.8456654309864,798.480061935594,1971.690997797244,2269.9749696866284,0.2406284768718299,0.1943200714691503,214.0442310714669,0.2103105817014248,24.70110864109851,4.178336828859849,33.97598997097572,0.5123526340198877,52.86895155906677,ts_0086.npz,ts_0125_20260211_163919.npz,Success,369.90068727900024
87,126,904.7819726470932,799.0545047038337,2137.61668604056,2540.052653391525,0.2396928323965479,0.1950709906297611,187.21882707297183,0.1093110424596854,23.51512798773449,6.166089915703864,34.05874125700916,0.8464326331330029,48.719160079956055,ts_0087.npz,ts_0126_20260211_164012.npz,Success,366.95077812293215
88,127,832.2520064469123,753.8453260263965,1977.8513611017624,2227.72980060724,0.203065998693189,0.1724649946367572,181.08908538307656,0.1832764805452453,23.418138731485893,5.563073427911658,33.98585711047025,0.7044252854878135,47.847994327545166,ts_0088.npz,ts_0127_20260211_164100.npz,Success,384.6074875846396
89,128,866.0875026000201,809.1576724077862,1808.5572119434487,2051.662306449071,0.216306092957234,0.1589833288839474,158.50615017648423,0.1085072342927207,23.024603759284343,6.444480166476897,34.109320170091564,0.9296759272352748,48.85328817367554,ts_0089.npz,ts_0128_20260211_164148.npz,Success,355.86095819862055
90,129,813.1659356769328,802.0664794595752,2004.578376819488,2475.0498716593347,0.244753545708902,0.1971154372714769,161.64129605758038,0.2071018206068066,23.01460145795766,5.8125866442411445,33.9941458216328,0.7402340134551961,48.683578968048096,ts_0090.npz,ts_0129_20260211_164237.npz,Success,384.73074721980623
91,131,905.7242781092498,751.142125413154,2123.074746823169,2492.143454966681,0.2111595186072449,0.1534267105039488,193.1713063173165,0.2414407160668389,23.599780829379807,4.838919801327764,33.94376946339446,0.5664105556116562,101.0967254638672,ts_0091.npz,ts_0131_20260211_164532.npz,Success,391.538539045773
92,133,908.915003758458,785.8520081962995,2325.9289156365053,2463.7095562709032,0.2058391427133774,0.1766485275199625,193.1072604885623,0.1924582606236983,20.05493659756412,4.033851522894263,34.14840533858188,0.9844373340134602,50.77275729179382,ts_0092.npz,ts_0133_20260211_164920.npz,Success,343.3362824848104
93,134,934.1400425796652,786.2628109989072,1996.907690071368,2304.634371054921,0.2469480284996093,0.1957502358931477,187.64192343936307,0.1589238765408546,20.62727529616667,3.863839458592283,34.13870343898844,0.991200818033189,48.87074589729309,ts_0093.npz,ts_0134_20260211_165010.npz,Success,364.2560056015543
94,136,840.1330353549475,754.6970127632068,2048.08823555283,2362.238290613433,0.2038382422249897,0.1456402338888602,238.58154324753303,0.2215428781722472,24.55230452901144,6.260363561067799,33.930407823523865,0.461206605814359,47.78183150291443,ts_0094.npz,ts_0136_20260211_165306.npz,Success,392.6498024905111
95,137,842.8902387034844,787.2700879037006,2219.361754672384,2507.460760478454,0.2239030136474468,0.1871218924427966,186.2233201343487,0.1065008000927822,22.91631912688163,6.89430840820156,34.0752269215896,0.9080626653802876,48.81042289733887,ts_0095.npz,ts_0137_20260211_165353.npz,Success,367.8656143872382
96,138,864.0805739217092,802.9579686064776,2353.996378395544,2386.4776833003243,0.2368398511513073,0.1567138726174641,233.145510033309,0.1725615736968941,24.15632012941297,5.99187719521268,33.94280398476832,0.5736605069863402,49.97003650665283,ts_0096.npz,ts_0138_20260211_165442.npz,Success,393.10546936055334
97,140,911.6061270153584,775.9605071314708,2369.125554028564,2411.098041202325,0.2007879852877277,0.154359515128118,158.23639404736744,0.1257168083183955,20.6583023980588,4.03279857120095,34.20333365010924,0.9962770190944864,49.03144979476929,ts_0097.npz,ts_0140_20260211_165738.npz,Success,340.02346303747845
98,142,931.723673361412,786.9379762247648,2178.642671385725,2190.2952492269983,0.2335762833300338,0.1841889927015601,172.56165641287103,0.2017013342724979,20.71799076254648,6.339664385980663,34.11628293505885,0.9858561931156056,49.039092779159546,ts_0098.npz,ts_0142_20260211_170034.npz,Success,360.3813228760027
99,143,907.7862301629729,756.9737037910987,1894.3522955658125,2069.177082003135,0.2382120010824052,0.1962979642851916,226.65113120924576,0.1346806027863907,22.756963640734604,5.364123126532746,33.97205687963566,0.8048155276594692,49.08289790153504,ts_0099.npz,ts_0143_20260211_170123.npz,Success,397.0409962551193
100,146,905.6030345442348,799.3806911624655,2368.3552580283936,2554.856098873623,0.221078702339085,0.1668193957058828,187.4160509736939,0.1974277588356648,22.846426537826066,4.065372402776924,33.95458948844026,0.712227412510689,50.223010301589966,ts_0100.npz,ts_0146_20260211_170627.npz,Success,396.6179067922217
101,148,849.9642947788541,809.9190814820952,1988.1886154440192,2251.876164907341,0.2415254932560355,0.1987254615273801,208.34020318607736,0.1381519857788674,21.22970383349798,6.844948379626113,34.08627223191189,0.9773571954923032,51.03938293457031,ts_0101.npz,ts_0148_20260211_170924.npz,Success,372.3814068490228
102,149,908.4402852764464,807.8975597880863,2106.5838556673943,2327.003806950687,0.2220773089773094,0.1856561518114953,225.00390693811747,0.1593889949491657,20.491210356853863,6.949911728670926,34.12668980564172,0.990876829190472,48.81956958770752,ts_0102.npz,ts_0149_20260211_171015.npz,Success,361.5511637368027
103,152,850.1080935966655,780.4480177942627,2390.596840043259,2453.2597542181834,0.2074752315114363,0.1542407760552038,191.1495938004374,0.1208092120139558,20.843628710826565,4.267093111135325,34.16495032816499,0.9924797783326884,49.07984399795532,ts_0103.npz,ts_0152_20260211_171517.npz,Success,353.1191733756606
104,153,864.4785104083304,808.3847593531254,2052.039354187802,2351.441010147216,0.2114434998585904,0.1893917677982638,200.1159158921202,0.2408957653691561,23.7017623645722,5.1129998658442855,33.93660702616512,0.5535749258724947,48.917151927948,ts_0104.npz,ts_0153_20260211_171606.npz,Success,393.0202393418337
105,154,853.2050667361943,789.7003483633495,2303.0904377174184,2528.5381369102943,0.2498637957010645,0.1621626708098879,154.61553162176563,0.1166528367244734,23.96860370474635,4.455684508992553,34.086430153263905,0.8347289063477723,48.945053577423096,ts_0105.npz,ts_0154_20260211_171655.npz,Success,351.2757642809895
106,156,860.7394550272177,846.0865725854371,2178.6040097020727,2524.7750767776524,0.2138211876694306,0.1988214708562877,178.41672423270683,0.2283322437986868,22.738377071647967,5.684965160326976,33.94727217543624,0.6943980249163234,48.98437404632568,ts_0106.npz,ts_0156_20260211_171950.npz,Success,399.16694004307135
107,158,941.4304409640775,794.4489023837912,2263.3924415262727,2482.4546764764564,0.2253285639903081,0.1407319689077517,246.9880528309386,0.1265419050076385,24.197171045484104,5.272353749397594,33.97455942577659,0.646083461876949,49.17302775382996,ts_0107.npz,ts_0158_20260211_172245.npz,Success,384.0833598710034
108,159,879.5981451218138,842.2743494573023,2100.781488585792,2512.084282826535,0.2077897391889406,0.1465020741278958,154.6719173891628,0.1712673418566866,20.54300052683636,4.731373371945394,34.18734923794341,0.9941087704238156,48.93078303337097,ts_0108.npz,ts_0159_20260211_172335.npz,Success,342.80016842100616
109,161,848.8465864840679,800.4634640734131,2043.537552176812,2175.8364835037555,0.2084798709521457,0.1977292562270122,203.20792053851903,0.2283435694541621,21.03836712597139,4.43696483454227,33.964262630066344,0.8682521883895298,49.000752210617065,ts_0109.npz,ts_0161_20260211_172630.npz,Success,400.32405123427117
110,163,936.1878978267736,849.6695185805903,2298.0011525389014,2442.8317347959355,0.2010004475729931,0.1448156897764128,205.57158321211773,0.196150464168746,20.99530641340516,5.501722854458162,34.01224110549333,0.9259717789713644,48.8333683013916,ts_0110.npz,ts_0163_20260211_172926.npz,Success,391.03955178505214
111,165,865.3045385049663,831.6740733106315,1808.501887645264,2083.799695201368,0.2479595490355638,0.1761470357391102,167.0785597242991,0.2335484163823473,23.45107050188303,3.8507651349610432,33.98106656277787,0.6351411961284583,48.78089928627014,ts_0111.npz,ts_0165_20260211_173221.npz,Success,384.4866841281773
112,166,866.3861825997756,751.0609579270051,2095.1797039616768,2567.2254893969525,0.2168109622852093,0.173643752372237,244.2168015512497,0.1219580267646891,23.391105194914715,5.19298739336187,33.97250375404582,0.748608591482875,47.87496972084045,ts_0112.npz,ts_0166_20260211_173310.npz,Success,391.60643438242056
113,167,841.0953812743244,820.8431764285908,2121.8901818294803,2529.592076491822,0.2170525724676951,0.1859160804694916,171.3938239274737,0.1956386380966525,20.15075615322196,5.086341799516049,34.21601769414781,0.9962195163041546,48.95993232727051,ts_0113.npz,ts_0167_20260211_173357.npz,Success,332.0297338358881
114,168,862.5236978644783,834.2191505470767,1884.4090785264327,2572.985939618178,0.2065434101369003,0.1820954628639646,248.1091560712192,0.1615636536623748,21.708410191793565,6.95374825134186,33.95337523691671,0.8501970829931805,47.89184069633484,ts_0114.npz,ts_0168_20260211_173446.npz,Success,406.3439391132619
115,169,832.5753318840931,797.899797026697,2246.166861151853,2557.655829578569,0.2239717164014992,0.1459897453118876,216.65490777627093,0.1361610185563971,22.836757250312893,4.514993464736258,33.98008295503877,0.8014957462434175,49.04480886459351,ts_0115.npz,ts_0169_20260211_173534.npz,Success,392.45189848584846
